node,PageRank
ai_node_499,0.08703462909594392
ai_node_498,0.052514150264098884
ai_node_495,0.044840188820503266
ai_node_497,0.03004413015203488
ai_node_496,0.024969345205216074
ai_node_487,0.020502226550561692
ai_node_494,0.020475328597768135
ai_node_492,0.0186882260280371
ai_node_493,0.015886453261470878
ai_node_473,0.011114795758741471
ai_node_490,0.010787731041308112
ai_node_489,0.010660363451313448
ai_node_491,0.009561430836301876
ai_node_479,0.0095065615464662
ai_node_484,0.009014377999476493
ai_node_478,0.008645780907923598
ai_node_463,0.008156829293840132
ai_node_467,0.008075741935481339
ai_node_483,0.007947509082131056
ai_node_488,0.007337491638992487
