node,PageRank
ai_node_499,0.03752077945633548
ai_node_496,0.02887050118381549
ai_node_495,0.01313935742744977
ai_node_490,0.01027482321933018
ai_node_485,0.009818357643002427
ai_node_423,0.009249902088911207
ai_node_498,0.009079870655037164
ai_node_453,0.00903621111709548
ai_node_481,0.008779953269461554
ai_node_433,0.008368711525863956
ai_node_489,0.00797481429077588
ai_node_488,0.007734348691194681
ai_node_406,0.007329280889457082
ai_node_437,0.0072558121725474125
ai_node_455,0.007206028576190053
ai_node_494,0.007098919806258006
ai_node_482,0.0070821067819668414
ai_node_492,0.00689961941883685
ai_node_350,0.006860829449286373
ai_node_416,0.006235176940308214
